epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
41,6349.05,0.45145,0.72175,0.28099,0.88681,0,0.9935,0.98966,0.98648,0.90572,0.99357,0.98973,0.98649,0.87844,0.39342,0.6047,0.18453,0.86609,0,0.000604,0.000604,0.000604
42,6504.92,0.44523,0.70818,0.27317,0.8814,0,0.99163,0.98933,0.98685,0.90509,0.99172,0.98942,0.98688,0.87951,0.39049,0.60574,0.18394,0.86502,0,0.0005941,0.0005941,0.0005941
43,6660.5,0.4474,0.71375,0.27165,0.88242,0,0.99335,0.98991,0.98594,0.90626,0.99339,0.98995,0.98595,0.87824,0.3968,0.60404,0.18488,0.86677,0,0.0005842,0.0005842,0.0005842
44,6815.93,0.44136,0.71118,0.272,0.88041,0,0.99103,0.98865,0.98639,0.90446,0.99107,0.98874,0.9864,0.87617,0.39457,0.60911,0.18444,0.86618,0,0.0005743,0.0005743,0.0005743
45,6971.95,0.44762,0.72119,0.27346,0.88104,0,0.99198,0.98903,0.9857,0.90691,0.99203,0.98911,0.98571,0.88044,0.38637,0.59909,0.17979,0.86404,0,0.0005644,0.0005644,0.0005644
46,7128.02,0.44343,0.70888,0.27581,0.87824,0,0.9928,0.9895,0.98645,0.90539,0.99287,0.98962,0.98647,0.8783,0.38612,0.60053,0.1812,0.86514,0,0.0005545,0.0005545,0.0005545
47,7283.77,0.43806,0.69733,0.2643,0.87738,0,0.99102,0.98944,0.98626,0.90609,0.99112,0.98954,0.98628,0.87899,0.38982,0.60452,0.18056,0.86516,0,0.0005446,0.0005446,0.0005446
48,7438.34,0.43926,0.70354,0.26597,0.87926,0,0.9906,0.98872,0.98679,0.90746,0.9907,0.98881,0.9868,0.88128,0.38683,0.60101,0.17821,0.86183,0,0.0005347,0.0005347,0.0005347
49,7593.79,0.4395,0.70863,0.26597,0.87687,0,0.99215,0.98929,0.9858,0.90755,0.99186,0.98908,0.9856,0.88123,0.38635,0.60406,0.17802,0.86419,0,0.0005248,0.0005248,0.0005248
50,7750.44,0.43873,0.70301,0.26305,0.87727,0,0.99294,0.98849,0.98613,0.90704,0.99301,0.98859,0.98615,0.88041,0.38724,0.59942,0.17714,0.86382,0,0.0005149,0.0005149,0.0005149
51,7906.13,0.43298,0.70424,0.26127,0.87708,0,0.99235,0.98849,0.98674,0.9061,0.99242,0.98856,0.98675,0.87957,0.39136,0.60399,0.18458,0.86687,0,0.000505,0.000505,0.000505
52,8061.65,0.43511,0.70582,0.26146,0.87786,0,0.99318,0.98884,0.98582,0.90736,0.99326,0.98895,0.98583,0.87975,0.38607,0.60328,0.17799,0.86414,0,0.0004951,0.0004951,0.0004951
53,8216.9,0.43095,0.69415,0.2596,0.87524,0,0.99281,0.98908,0.9864,0.91099,0.99285,0.98915,0.98641,0.88111,0.38193,0.59906,0.17697,0.86282,0,0.0004852,0.0004852,0.0004852
54,8372.64,0.43246,0.6944,0.25619,0.87543,0,0.9918,0.98874,0.98637,0.90836,0.99188,0.98882,0.98638,0.88078,0.38504,0.60172,0.17656,0.86135,0,0.0004753,0.0004753,0.0004753
55,8528.55,0.42847,0.69928,0.25402,0.87545,0,0.99124,0.99027,0.98659,0.90876,0.99129,0.99032,0.98658,0.8787,0.38742,0.60901,0.17549,0.8619,0,0.0004654,0.0004654,0.0004654
56,8684.27,0.4274,0.68993,0.2554,0.86998,0,0.99191,0.98856,0.98546,0.90968,0.99196,0.98861,0.98547,0.88002,0.38324,0.59927,0.17309,0.8591,0,0.0004555,0.0004555,0.0004555
57,8840.25,0.42478,0.69124,0.25174,0.87266,0,0.99216,0.99054,0.98645,0.90964,0.99223,0.99057,0.98646,0.88157,0.38452,0.60516,0.1739,0.85823,0,0.0004456,0.0004456,0.0004456
58,8995.33,0.42442,0.68808,0.2507,0.8734,0,0.99316,0.98876,0.9864,0.90973,0.99323,0.98882,0.98641,0.88099,0.38586,0.60267,0.17291,0.85739,0,0.0004357,0.0004357,0.0004357
59,9150.45,0.4241,0.68807,0.24906,0.86855,0,0.99156,0.98991,0.98625,0.90952,0.99163,0.98989,0.98625,0.88132,0.38401,0.60321,0.16995,0.85315,0,0.0004258,0.0004258,0.0004258
60,9305.36,0.42401,0.68726,0.24986,0.86781,0,0.99271,0.98918,0.98683,0.91163,0.99275,0.98927,0.98683,0.88296,0.38373,0.6021,0.16844,0.85439,0,0.0004159,0.0004159,0.0004159
61,9461.08,0.42254,0.68541,0.2477,0.87197,0,0.99198,0.98896,0.98633,0.91051,0.99208,0.98906,0.98634,0.882,0.38555,0.60323,0.17016,0.85821,0,0.000406,0.000406,0.000406
62,9616.75,0.41841,0.68153,0.24188,0.86922,0,0.99182,0.9894,0.9865,0.91025,0.99188,0.98947,0.98651,0.88194,0.38507,0.60167,0.16806,0.85452,0,0.0003961,0.0003961,0.0003961
63,9772,0.41917,0.67957,0.23982,0.86777,0,0.9933,0.98951,0.98574,0.9093,0.99336,0.98958,0.98575,0.88079,0.38556,0.60382,0.16697,0.85506,0,0.0003862,0.0003862,0.0003862
64,9928.01,0.41734,0.67971,0.23854,0.86509,0,0.99341,0.98945,0.98618,0.90962,0.99346,0.9895,0.98618,0.88034,0.38563,0.60238,0.16871,0.85289,0,0.0003763,0.0003763,0.0003763
65,10084.4,0.4146,0.67916,0.23936,0.86683,0,0.99319,0.98898,0.98681,0.91003,0.99322,0.98901,0.98681,0.88236,0.38363,0.6042,0.16614,0.85211,0,0.0003664,0.0003664,0.0003664
66,10240.2,0.41229,0.67176,0.234,0.86613,0,0.99322,0.99041,0.98642,0.91041,0.99327,0.99046,0.98643,0.88182,0.38446,0.60341,0.16526,0.85114,0,0.0003565,0.0003565,0.0003565
67,10396.1,0.41458,0.67425,0.23602,0.8652,0,0.99222,0.99008,0.98642,0.91152,0.99227,0.99013,0.98643,0.88273,0.382,0.60061,0.16404,0.85374,0,0.0003466,0.0003466,0.0003466
68,10552.1,0.41664,0.68167,0.23786,0.86896,0,0.9933,0.98887,0.98595,0.91205,0.99334,0.98892,0.98595,0.88342,0.38205,0.60173,0.16478,0.8542,0,0.0003367,0.0003367,0.0003367
69,10708.7,0.41035,0.66566,0.23434,0.86414,0,0.99327,0.98936,0.98615,0.91051,0.9933,0.98939,0.98615,0.8828,0.38265,0.60335,0.16432,0.85262,0,0.0003268,0.0003268,0.0003268
70,10864.4,0.40922,0.66877,0.2333,0.86397,0,0.99237,0.98949,0.98644,0.91104,0.99242,0.98954,0.98645,0.88288,0.38359,0.60359,0.16479,0.85543,0,0.0003169,0.0003169,0.0003169
71,11020.5,0.40486,0.66449,0.22804,0.8627,0,0.99384,0.9891,0.98644,0.91111,0.99388,0.98915,0.98645,0.88141,0.38182,0.60313,0.16437,0.85265,0,0.000307,0.000307,0.000307
72,11175.9,0.40665,0.6722,0.23013,0.86375,0,0.99316,0.98878,0.98619,0.90988,0.99321,0.98883,0.9862,0.88236,0.38313,0.60544,0.16431,0.85576,0,0.0002971,0.0002971,0.0002971
73,11330.9,0.40676,0.66592,0.22652,0.86544,0,0.99285,0.9895,0.98609,0.91071,0.99288,0.98953,0.9861,0.881,0.3831,0.60338,0.1631,0.85407,0,0.0002872,0.0002872,0.0002872
74,11486.1,0.40319,0.66309,0.22529,0.86373,0,0.9927,0.98986,0.98658,0.91019,0.99277,0.98996,0.98659,0.88146,0.3842,0.60621,0.16309,0.85454,0,0.0002773,0.0002773,0.0002773
75,11642,0.40634,0.66491,0.22745,0.86299,0,0.99388,0.98962,0.9871,0.91072,0.99395,0.98968,0.9871,0.88262,0.38342,0.60419,0.16301,0.85609,0,0.0002674,0.0002674,0.0002674
76,11797.4,0.40595,0.66313,0.22581,0.86204,0,0.99237,0.98964,0.98597,0.91015,0.99237,0.98972,0.98598,0.88194,0.38397,0.60624,0.16276,0.854,0,0.0002575,0.0002575,0.0002575
77,11952,0.4036,0.66107,0.22313,0.86033,0,0.99234,0.98858,0.98615,0.91136,0.99237,0.98862,0.98616,0.88135,0.38283,0.60657,0.16216,0.85159,0,0.0002476,0.0002476,0.0002476
78,12107.8,0.40661,0.66718,0.22505,0.86141,0,0.99257,0.98905,0.98633,0.91179,0.99264,0.98909,0.98633,0.88266,0.38201,0.60579,0.16097,0.85146,0,0.0002377,0.0002377,0.0002377
79,12264.4,0.40183,0.66401,0.22183,0.85927,0,0.99284,0.98907,0.98648,0.91194,0.99289,0.98909,0.98648,0.88222,0.38146,0.60556,0.16128,0.85127,0,0.0002278,0.0002278,0.0002278
80,12419.1,0.40145,0.6497,0.21871,0.85966,0,0.99274,0.98932,0.98619,0.91046,0.99279,0.98934,0.9862,0.88215,0.38288,0.60735,0.16136,0.8514,0,0.0002179,0.0002179,0.0002179
81,12573.9,0.39442,0.64506,0.21208,0.85805,0,0.99305,0.99013,0.98634,0.91187,0.99313,0.99018,0.98635,0.88239,0.3835,0.6076,0.16077,0.85232,0,0.000208,0.000208,0.000208
82,12728.4,0.39717,0.65578,0.21693,0.85703,0,0.99277,0.98936,0.98644,0.91211,0.99282,0.98941,0.98645,0.8823,0.3832,0.60779,0.16027,0.85127,0,0.0001981,0.0001981,0.0001981
83,12884,0.39779,0.66085,0.21745,0.85709,0,0.99203,0.9899,0.98644,0.91099,0.99208,0.98994,0.98645,0.8824,0.38333,0.60915,0.16062,0.85211,0,0.0001882,0.0001882,0.0001882
84,13039.9,0.39444,0.64619,0.21476,0.85537,0,0.99117,0.98966,0.98657,0.91153,0.99122,0.98971,0.98658,0.88236,0.38361,0.60868,0.16045,0.85302,0,0.0001783,0.0001783,0.0001783
85,13196.1,0.39457,0.6484,0.2151,0.85816,0,0.99211,0.9896,0.9864,0.91137,0.99218,0.98961,0.98641,0.88232,0.38287,0.6116,0.16016,0.85415,0,0.0001684,0.0001684,0.0001684
86,13352,0.39074,0.65079,0.21379,0.85935,0,0.99213,0.9891,0.98665,0.91198,0.99221,0.98913,0.98666,0.88298,0.38373,0.60992,0.15973,0.85398,0,0.0001585,0.0001585,0.0001585
87,13507.2,0.39271,0.64401,0.21357,0.85703,0,0.99268,0.98939,0.9868,0.91165,0.99273,0.98944,0.98681,0.88327,0.38214,0.60888,0.15835,0.85303,0,0.0001486,0.0001486,0.0001486
88,13661.7,0.3904,0.64692,0.20723,0.8559,0,0.9928,0.98836,0.98658,0.91099,0.99284,0.98834,0.98658,0.88198,0.38317,0.61137,0.15845,0.85388,0,0.0001387,0.0001387,0.0001387
